,name,alias_1,alias_2,muscle_group,secondary_muscle_group,tertiary_muscle_group,equipment,description,instructions
696,Machine Bicep Curl (Matrix),Matrix Arm Curl Machine,Biceps Curl Matrix,Biceps,,,Machine,Isolation exercise that targets the biceps using a seated machine position for building arm strength and muscle definition.,"1. Adjust the seat height so your elbows align with the pivot point of the machine and sit with your back firmly against the pad, 2. Position your upper arms against the arm pad with a shoulder-width grip on the handles, keeping your wrists straight, 3. Curl the weight up by contracting your biceps while keeping your elbows stationary against the pad, 4. Slowly lower the weight back to the starting position without fully locking out your elbows."
697,Machine Tricep Extension (Matrix),Matrix Arm Extension Machine,Triceps Extension Matrix,Triceps,,,Machine,Isolation exercise that targets the triceps using a seated machine position for developing arm extension strength and tricep mass.,"1. Adjust the seat so your elbows align with the machine's pivot point and sit with your back pressed against the pad, 2. Grip the handles with your palms facing down and position your upper arms parallel to the floor, 3. Extend your forearms downward by contracting your triceps while keeping your upper arms stationary, 4. Slowly return to the starting position with control, maintaining tension in your triceps throughout the movement."
698,Machine Pec Fly (Matrix),Chest Fly Machine Matrix,Machine Pec Deck Matrix,Chest,Shoulders,,Machine,Isolation exercise that targets the pectorals using a seated machine with arc motion for developing chest width and muscle separation.,"1. Adjust the seat height so your upper arms are parallel to the floor when gripping the handles and sit with your back firmly against the pad, 2. Position your arms against the vertical pads with a slight bend in your elbows and maintain this angle throughout the movement, 3. Bring your arms together in a smooth arc by contracting your chest muscles, focusing on squeezing your pecs at the peak contraction, 4. Slowly return to the starting position with control, feeling a stretch in your chest muscles."
699,Machine Rear Delt (Matrix),Reverse Fly Matrix,Rear Deltoid Machine Matrix,Upper Back,Shoulders,,Machine,Isolation exercise that targets the posterior deltoids using a seated machine for improving posture and rear shoulder strength.,"1. Adjust the seat height so your arms are parallel to the floor and sit facing the machine with your chest against the pad, 2. Grip the handles with your palms facing down and maintain a slight bend in your elbows throughout the movement, 3. Pull your arms back in a reverse fly motion by contracting your rear deltoids and squeezing your shoulder blades together, 4. Slowly return to the starting position with control while maintaining tension in your rear delts."
700,Machine Chest Press (Precor),Precor Chest Press Machine,Chest Press Precor,Chest,Triceps,Shoulders,Machine,"Horizontal pushing exercise that targets the pectorals, anterior deltoids, and triceps using a seated machine position for building upper body pressing strength and chest development.","1. Adjust the seat height so the handles align with the middle of your chest and sit with your back firmly pressed against the pad, 2. Grip the handles with your palms facing down and position your feet flat on the floor for stability, 3. Press the handles forward by extending your arms while keeping your core engaged and avoiding arching your back, 4. Slowly return the weight to the starting position with control, feeling a stretch in your chest muscles."
701,Machine Seated Row (Precor),Precor Machine Seated Row,Seated Row Precor Machine,Upper Back,Lat,,Machine,"Horizontal pulling exercise that targets the middle trapezius, rhomboids, and rear deltoids using a seated machine for building back thickness and posture muscles.","1. Adjust the chest pad height so it sits at the middle of your sternum and sit with your feet firmly planted on the footrests, 2. Grip the handles with your arms extended and maintain a tall posture with your chest against the pad, 3. Pull the handles toward your torso by retracting your shoulder blades and driving your elbows back, 4. Slowly return to the starting position with control while maintaining good posture throughout the movement."
702,Plate Loaded Squat Machine (Precor),Precor Squat Press Plate,Plate Squat Machine Precor,Legs,,,Plate Loaded Machine,"Compound pushing exercise that targets the quadriceps, glutes, and hamstrings using a plate-loaded machine for developing lower body strength with controlled movement.","1. Position yourself under the shoulder pads with your feet shoulder-width apart and toes slightly turned out, 2. Load the appropriate weight plates and ensure the shoulder pads sit comfortably on your upper traps, 3. Descend by pushing your hips back and bending your knees while keeping your chest up and core engaged, 4. Drive through your heels to return to the starting position, fully extending your hips and knees at the top."
703,Machine Lateral Raise (Precor),Precor Side Raise Machine,Lateral Shoulder Raise Precor,Shoulders,,,Machine,Isolation exercise that targets the medial deltoids using a seated machine for developing shoulder width and lateral deltoid strength.,"1. Adjust the seat height so your shoulders align with the machine's pivot point and sit with your back against the pad, 2. Position your upper arms against the pads with your elbows slightly bent and maintain this angle throughout the movement, 3. Raise your arms out to the sides by contracting your deltoids until your upper arms are parallel to the floor, 4. Slowly lower your arms back to the starting position with control while maintaining tension in your shoulders."
704,Machine Bicep Curl (Precor),Precor Biceps Machine,Arm Curl Precor,Biceps,,,Machine,Isolation exercise that targets the biceps using a seated machine position for building arm strength and bicep development.,"1. Adjust the seat height so your elbows align with the machine's pivot point and sit with your chest against the pad, 2. Grip the handles with an underhand grip and position your upper arms flat against the arm pad, 3. Curl the weight up by contracting your biceps while keeping your wrists straight and elbows stationary, 4. Slowly lower the weight back to the starting position without fully straightening your arms."
705,Machine Tricep Extension (Precor),Precor Triceps Machine,Arm Extension Precor,Triceps,,,Machine,Isolation exercise that targets the triceps using a seated machine position for developing arm extension strength and tricep definition.,"1. Adjust the seat so your back is supported and your elbows align with the machine's axis of rotation, 2. Grip the handles with your palms facing down and position your upper arms against the pad, 3. Extend your forearms by contracting your triceps while keeping your upper arms pressed against the pad, 4. Slowly return to the starting position with control, maintaining constant tension in your triceps."
706,Handles Farmer's Walk (Sorinex),Sorinex Farmer Carry Handles,Farmer’s Walk Handles Sorinex,Upper Back,Lower Back,Forearms,Other,"Loaded carry exercise that targets the entire body including grip, traps, and core using specialized handles for building functional strength and endurance.","1. Stand between the farmer's walk handles with your feet hip-width apart and grip each handle firmly with a neutral wrist position, 2. Engage your core and lift the handles by standing up straight while keeping your shoulders back and chest up, 3. Walk forward with controlled steps, maintaining an upright posture and avoiding swaying from side to side, 4. Set the handles down gently by squatting down while keeping your back straight and core engaged."
707,Yoke Walk ,Yoke Carry,Yoke Frame Walk,Legs,Lower Back,Upper Back,Other,"Loaded carry exercise that targets the entire posterior chain and core using a yoke apparatus for developing strength, stability, and mental toughness.","1. Position yourself under the yoke with your feet shoulder-width apart and the crossbar resting on your upper traps, 2. Grip the yoke handles firmly and lift by standing up straight while engaging your core and keeping your chest up, 3. Walk forward with short, controlled steps while maintaining an upright posture and avoiding forward lean, 4. Set the yoke down by squatting down in a controlled manner while keeping your back straight."
708,Yoke Walk (Sorinex),Sorinex Yoke Carry,Sorinex Yoke Frame Walk,Legs,Lower Back,Upper Back,Other,"Loaded carry exercise that targets the entire posterior chain and core using a yoke apparatus for developing strength, stability, and mental toughness.","1. Approach the atlas stone and squat down with your feet wider than shoulder-width, wrapping your arms around the stone, 2. Lift the stone by driving through your legs and pulling it into your body, keeping your back as straight as possible, 3. Carry the stone by holding it close to your torso while walking with controlled steps and maintaining good posture, 4. Set the stone down by squatting down and rolling it away from your body in a controlled manner."
709,Atlas Stone Carry,Stone Carry,Atlas Carry,Lower Back,Legs,Upper Back,Other,Loaded carry exercise that targets the entire body including posterior chain and core using a heavy stone for building functional strength and grip endurance.,"1. Approach the sandbag and squat down to grip it securely, either by the handles or by wrapping your arms around it, 2. Lift the sandbag by driving through your legs while keeping your core engaged and back straight, 3. Carry the sandbag close to your body while walking with controlled steps and maintaining an upright posture, 4. Set the sandbag down by squatting down in a controlled manner while keeping your back straight."
710,Sandbag Carry,Sandbag Walk,Weighted Bag Carry,Lower Back,Legs,Upper Back,Sandbag,Loaded carry exercise that targets the entire body and core using an unstable sandbag for developing functional strength and stability.,"1. Position yourself next to the Sorinex sandbag and squat down to grip the handles securely with both hands, 2. Lift the sandbag by driving through your legs while keeping your core tight and maintaining a neutral spine, 3. Carry the sandbag at your side or in front of your body while walking with controlled steps, 4. Set the sandbag down by squatting down and placing it gently on the ground while maintaining proper form."
711,Sandbag Carry (Sorinex),Sorinex Sandbag Walk,Sorinex Bag Carry,Lower Back,Legs,Upper Back,Sandbag,Loaded carry exercise that targets the full body and core using a specialized sandbag for building functional strength and muscular endurance.,"1. Position yourself behind the sled with your hands on the push handles and your body at a 45-degree angle, 2. Place your feet shoulder-width apart with your core engaged and maintain a straight line from your head to your heels, 3. Drive the sled forward by pushing through your legs and extending your hips while keeping your arms straight, 4. Maintain consistent pressure on the handles throughout the movement while taking controlled steps forward."
712,Sled Push (Sorinex),Sorinex Prowler Push,Weighted Sled Push Sorinex,Legs,Lower Back,Quadriceps,Sled,"Linear pushing exercise that targets the quadriceps, glutes, and core using a weighted sled for developing power and conditioning.","1. Attach the rope or straps to the sled and position yourself at the end of the rope with your feet shoulder-width apart, 2. Grip the rope firmly and lean back slightly while engaging your core and maintaining good posture, 3. Pull the sled toward you by driving through your legs and pulling with your arms in a hand-over-hand motion, 4. Continue the pulling motion with controlled movements while maintaining tension on the rope throughout."
713,Sled Pull (Sorinex),Sorinex Weighted Sled Drag,Sled Backward Pull Sorinex,Legs,Upper Back,Lower Back,Sled,Linear pulling exercise that targets the posterior chain and upper back using a weighted sled for building pulling strength and cardiovascular fitness.,"1. Stand with your feet shoulder-width apart and grip the sledgehammer with one hand near the head and the other at the bottom of the handle, 2. Raise the hammer overhead by sliding your top hand down toward your bottom hand while keeping your core engaged, 3. Drive the hammer down forcefully by engaging your core and letting your top hand slide back up the handle, 4. Allow the hammer to bounce off the tire and immediately prepare for the next repetition by repositioning your grip."
714,Sledgehammer Swing,Hammer Strikes,Tire Slams,Lats,Legs,Lower Back,Sledgehammer,"Dynamic swinging exercise that targets the core, shoulders, and back using a sledgehammer for developing power and conditioning.","1. Lie on your back holding a dumbbell in your right hand with your arm extended straight up and your right knee bent, 2. Roll onto your left elbow while keeping the dumbbell stable overhead and your eyes focused on the weight, 3. Push up to your left hand, then lift your hips to create a bridge while threading your left leg back into a kneeling position, 4. Stand up from the kneeling position while maintaining the dumbbell overhead, then reverse the movement to return to the starting position."
715,Dumbbell Turkish Get-Up,DB Turkish Get-Up,Dumbbell Get-Up,Shoulders,Legs,Abs,Dumbbell,Complex movement exercise that targets full body stability and strength using a dumbbell for developing coordination and functional movement patterns.,"1. Lie on your back with your right arm extended straight up toward the ceiling and your right knee bent with foot flat on the floor, 2. Roll onto your left elbow while keeping your right arm extended and your eyes focused on your raised hand, 3. Push up to your left hand, then lift your hips and thread your left leg back into a kneeling position, 4. Stand up from the kneeling position while maintaining your right arm extended overhead, then reverse the movement to return to the starting position."
716,Bodyweight Turkish Get-Up,No Weight Turkish Get-Up,BW Turkish Get-Up,Shoulders,Legs,Abs,Bodyweight,Complex movement exercise that targets full body stability and core using only bodyweight for learning movement patterns and mobility.,"1. Lie on your back with your right arm extended straight up and your right knee bent, focusing on the first portion of the movement, 2. Roll onto your left elbow while keeping your right arm stable and your eyes focused on your raised hand, 3. Push up from your elbow to your left hand while maintaining the position of your right arm, 4. Hold this position briefly, then reverse the movement back to the starting position in a controlled manner."
717,Partial Turkish Get-Up,Half Turkish Get-Up,Modified Get-Up,Shoulders,Legs,Abs,Bodyweight,Modified movement exercise that targets core stability and shoulders using partial range of motion for building strength in specific positions.,"1. Lie on your back holding a kettlebell in your right hand with your arm extended straight up and your right knee bent, 2. Roll onto your left elbow while keeping the kettlebell stable overhead and maintaining visual contact with the weight, 3. Push up to your left hand, then lift your hips and sweep your left leg back into a kneeling lunge position, 4. Stand up from the lunge while keeping the kettlebell overhead, then reverse the entire movement to return to the starting position."
718,Kettlebell Turkish Get-Up,KB Turkish Get-Up,Kettlebell Get-Up,Shoulders,Legs,Abs,Kettlebell,Complex movement exercise that targets full body stability and strength using a kettlebell for developing functional movement and coordination.,"1. Lie on your back holding a barbell with both hands extended straight up over your chest and your right knee bent, 2. Roll onto your left elbow while maintaining control of the barbell overhead and keeping it balanced, 3. Push up to your left hand, then lift your hips and thread your left leg back into a kneeling position, 4. Stand up from the kneeling position while keeping the barbell stable overhead, then carefully reverse the movement."
719,Barbell Turkish Get-Up,BB Turkish Get-Up,Turkish Get-Up Barbell,Shoulders,Legs,Abs,Barbell,Advanced movement exercise that targets full body stability using a barbell for building strength and movement quality under load.,"1. Lie on your back holding a sandbag against your chest with your right knee bent and foot flat on the floor, 2. Press the sandbag overhead with both hands, then shift it to your right hand while rolling onto your left elbow, 3. Push up to your left hand while keeping the sandbag stable, then lift your hips and sweep your left leg back, 4. Stand up from the kneeling position while maintaining the sandbag overhead, then reverse the movement to return to the starting position."
720,Sandbag Turkish Get-Up,Turkish Get-Up Sandbag,Sandbag TGU,Shoulders,Legs,Abs,Sandbag,Complex movement exercise that targets full body stability using an unstable sandbag for developing functional strength and coordination.,"1. Lie on your back holding a medicine ball with both hands extended straight up over your chest and your right knee bent, 2. Shift the ball to your right hand and roll onto your left elbow while keeping the ball stable overhead, 3. Push up to your left hand, then lift your hips and thread your left leg back into a kneeling position, 4. Stand up from the kneeling position while maintaining the medicine ball overhead, then reverse the entire movement with control."
721,Medicine Ball Turkish Get-Up,Med Ball Turkish Get-Up,Turkish Get-Up Medicine Ball,Shoulders,Legs,Abs,Medicine Ball,Movement exercise that targets full body stability and core using a medicine ball for building coordination and movement patterns.,"1. Lie on your back holding a medicine ball in your right hand with your arm extended straight up, right knee bent with foot flat on the floor. 2. Roll onto your left elbow while keeping the medicine ball stable overhead, then press up to your left hand. 3. Lift your hips off the ground and sweep your left leg underneath to a kneeling position, maintaining the medicine ball overhead. 4. Stand up from the kneeling position while keeping the medicine ball pressed overhead and your core engaged. 5. Reverse the movement to return to the starting position with control, then repeat on the opposite side."
722,L-Sit (Floor),Floor L-Sit,L-Sit Floor,Abs,Legs,Shoulders,Bodyweight,"Isometric exercise that targets the core, hip flexors, and shoulders using floor position for building core strength and body control.","1. Sit on the floor with your legs extended straight in front of you and place your hands flat on the ground beside your hips, 2. Press down through your hands and engage your core to lift your entire body off the ground, 3. Hold your legs straight and parallel to the floor while maintaining the lifted position through shoulder and core strength, 4. Keep your shoulders depressed and your body in an ""L"" shape for the duration of the hold."
723,L-Sit (Paralletes),Paralletes L-Sit,L-Sit Parallette,Abs,Legs,Shoulders,Paralletes,Isometric exercise that targets the core and shoulders using parallette bars for developing upper body strength and core stability.,"1. Position yourself between the parallettes and grip the handles with your arms straight and shoulders directly over your hands, 2. Lift your legs straight out in front of you while pressing down through the parallettes to support your body weight, 3. Hold the ""L"" position by engaging your core and maintaining straight legs parallel to the floor, 4. Keep your shoulders depressed and avoid letting your legs drop below parallel throughout the hold."
724,L-Sit (Dip Bars),Dip Bar L-Sit,L-Sit Dip Station,Abs,Legs,Shoulders,Dip Bars,"Isometric exercise that targets the core, shoulders, and triceps using dip bars for building upper body strength and core endurance.","1. Mount the dip bars and support your body weight with straight arms and your shoulders directly over the bars, 2. Lift your legs straight out in front of you while maintaining your grip and keeping your torso upright, 3. Hold the ""L"" position by engaging your core and keeping your legs parallel to the floor, 4. Maintain the position by pressing down through the bars and keeping your shoulders stable throughout the hold."
725,L-Sit (Ring),Ring L-Sit,L-Sit Rings,Abs,Legs,Shoulders,Rings,"Isometric exercise that targets the core, shoulders, and stabilizers using gymnastic rings for developing advanced body control and strength.","1. Hang from the rings with your arms straight and your body in a dead hang position, 2. Pull yourself up slightly while simultaneously lifting your legs straight out in front of you, 3. Hold the ""L"" position by engaging your core and keeping your legs parallel to the floor while maintaining ring stability, 4. Keep your shoulders depressed and your rings close to your body throughout the challenging hold."
726,Bike (Peloton),Peloton Bike,Peloton Cycling,Legs,,,Pelaton Bike,Cardiovascular exercise that targets the lower body and cardiovascular system using a stationary bike for building endurance and leg strength.,"1. Adjust the seat height so your leg has a slight bend when the pedal is at the bottom position and set the handlebars at a comfortable height, 2. Clip into the pedals securely and maintain a slight forward lean with your hands resting lightly on the handlebars, 3. Pedal with smooth, circular motions while engaging your core and keeping your knees aligned over your toes, 4. Maintain consistent cadence and resistance as prescribed while focusing on proper breathing throughout your workout."
727,Rowing Machine (Concept2),Concept2 Rower,C2 Rowing Machine,,,,Concept2 Rower,"Full body cardiovascular exercise that targets the legs, back, and arms using a rowing ergometer for developing power and endurance.",Abs
728,SkiErg (Concept2),Concept2 SkiErg,C2 Ski Erg,,,,Concept2 SkiErg,"Upper body cardiovascular exercise that targets the lats, core, and legs using a ski ergometer for building pulling power and conditioning.","1. Stand facing the SkiErg with your feet hip-width apart and grip the handles with your arms extended overhead, 2. Engage your core and pull the handles down and back in a smooth motion, similar to a double-pole skiing technique, 3. Drive the movement with your lats and core while allowing your hips to hinge slightly backward, 4. Return the handles to the starting position with control while maintaining your rhythm and breathing pattern."
729,BikeErg (Concept2),Concept2 BikeErg,C2 Bike Erg,,,,Concept2 BikeErg,Cardiovascular exercise that targets the lower body using an air resistance bike for developing leg power and aerobic capacity.,"1. Adjust the seat height so your leg has a slight bend at full extension and position yourself on the BikeErg with proper posture, 2. Grip the handlebars lightly and maintain a slight forward lean while keeping your core engaged, 3. Pedal with smooth, circular motions while maintaining the prescribed cadence and resistance levels, 4. Focus on consistent power output while keeping your upper body stable and breathing rhythmically throughout your workout."
730,Row Machine (Hydrow),Hydrow Rower,Hydrow Rowing Machine,,,,Hydrow Rower,Full body cardiovascular exercise that targets the posterior chain and arms using a connected rowing machine for building endurance and strength.,"1. Sit on the Hydrow with your feet secured in the footrests and grip the handle with both hands, maintaining good posture, 2. Begin each stroke by driving through your legs while keeping your arms straight and your core engaged, 3. Complete the pull by bringing the handle to your lower chest while leaning back slightly and squeezing your shoulder blades, 4. Return to the catch position by extending your arms, then sliding forward to bend your knees while following the instructor's cadence."
731,Chest Press (Tonal),Tonal Chest Press,Chest Press Tonal,Chest,Triceps,Shoulders,Tonal,Horizontal pushing exercise that targets the pectorals and triceps using electromagnetic resistance for building chest strength with variable resistance.,"1. Stand facing away from the Tonal with your feet shoulder-width apart and grip the handles at chest height, 2. Step forward to create tension in the cables and position your hands at chest level with your elbows bent, 3. Press the handles forward by extending your arms while keeping your core engaged and avoiding arching your back, 4. Slowly return to the starting position with control while maintaining tension in the cables throughout the movement."
732,Chest Fly (Tonal),Tonal Chest Fly,Chest Flys Tonal,Chest,Shoulders,,Tonal,Isolation exercise that targets the pectorals using electromagnetic resistance with arc motion for developing chest width and definition.,"1. Stand facing away from the Tonal with your arms extended to your sides and grip the handles at chest height, 2. Step forward to create tension and maintain a slight bend in your elbows throughout the movement, 3. Bring your hands together in front of your chest in a wide arc motion by contracting your pectoral muscles, 4. Slowly return to the starting position with control while feeling a stretch in your chest muscles."
733,Bicep Curl (Tonal),Tonal Bicep Curl,Biceps Curl Tonal,Biceps,,,Tonal,Isolation exercise that targets the biceps using electromagnetic resistance for building arm strength with consistent tension.,"1. Stand facing the Tonal with your feet hip-width apart and grip the handles with an underhand grip, 2. Position your elbows at your sides and maintain tension in the cables with your arms extended, 3. Curl the handles up by contracting your biceps while keeping your elbows stationary at your sides, 4. Slowly lower the handles back to the starting position with control while maintaining tension throughout the range of motion."
734,Lateral Raise (Tonal),Tonal Lateral Raise,Lateral Raise Tonal,Shoulders,Upper Back,,Tonal,Isolation exercise that targets the medial deltoids using electromagnetic resistance for developing shoulder width and strength.,"1. Stand with your side to the Tonal and grip one handle with the arm furthest from the machine, 2. Position your working arm at your side with a slight bend in your elbow and create tension in the cable, 3. Raise your arm out to the side until it's parallel to the floor by contracting your deltoid muscle, 4. Slowly lower your arm back to the starting position with control while maintaining tension in the cable."
735,Tricep Pushdown (Tonal),Tonal Tricep Pushdown,Tricep Pushdown Tonal,Triceps,,,Tonal,Isolation exercise that targets the triceps using electromagnetic resistance with rope attachment for building arm extension strength.,"1. Stand facing the Tonal with your feet shoulder-width apart and grip the handles with your palms facing down, 2. Position your elbows at your sides and keep your upper arms stationary throughout the movement, 3. Push the handles down by extending your forearms and contracting your triceps until your arms are fully extended, 4. Slowly return to the starting position with control while maintaining tension in your triceps."
736,Pullthrough (Tonal),Tonal Pullthrough,Pull Through Tonal,Glutes,Hamstring,,Tonal,Hip hinge exercise that targets the glutes and hamstrings using electromagnetic resistance with rope for developing posterior chain strength.,"1. Stand facing away from the Tonal with your feet wider than shoulder-width and grip the handle between your legs, 2. Hinge at your hips and allow the cable to pull your hands back between your legs while keeping your back straight, 3. Drive your hips forward by contracting your glutes and hamstrings while pulling the handle through to hip level, 4. Control the return to the starting position while maintaining tension and feeling the stretch in your posterior chain."
737,Cable Pullthrough (Rope),Rope Cable Pullthrough,Cable Pull Through Rope,Glutes,Hamstring,,Tonal,Hip hinge exercise that targets the glutes and hamstrings using cable resistance with rope attachment for building posterior chain power.,"1. Stand facing away from the cable machine with your feet wider than shoulder-width and grip the rope attachment between your legs, 2. Hinge at your hips and let the cable pull the rope back between your legs while maintaining a neutral spine, 3. Drive your hips forward by squeezing your glutes and hamstrings while pulling the rope through to hip level, 4. Control the eccentric portion of the movement while maintaining tension and proper hip hinge mechanics."
738,Hammer Curl (Tonal),Tonal Hammer Curl,Hammer Curls Tonal,Biceps,Forearms,,Tonal,Isolation exercise that targets the biceps and forearms using electromagnetic resistance with neutral grip for building arm strength and grip.,"1. Stand facing the Tonal with your feet hip-width apart and grip the handles with a neutral grip (palms facing each other), 2. Position your elbows at your sides and maintain tension in the cables with your arms extended, 3. Curl the handles up by contracting your biceps and brachialis while keeping your wrists in a neutral position, 4. Slowly lower the handles back to the starting position with control while maintaining tension throughout the movement."
739,Squat (Tonal),Tonal Squat,Squats Tonal,Legs,Quadricep,,Tonal,"Compound pushing exercise that targets the quadriceps, glutes, and core using electromagnetic resistance for building lower body strength with variable load.","1. Stand facing away from the Tonal with the handles positioned at shoulder height and your feet shoulder-width apart, 2. Step forward to create tension in the cables and position the handles at your shoulders or hold them at chest level, 3. Descend into a squat by pushing your hips back and bending your knees while keeping your chest up and core engaged, 4. Drive through your heels to return to the starting position while maintaining tension in the cables throughout the movement."
740,Deadlift (Tonal),Tonal Deadlift,DL Tonal,Legs,Lower Back,,Tonal,Compound pulling exercise that targets the posterior chain using electromagnetic resistance for developing full body strength and power.,"1. Stand facing the Tonal with your feet hip-width apart and grip the handles with both hands using an overhand grip, 2. Position yourself so there's tension in the cables when your arms are extended and you're in a slight hip hinge, 3. Pull the handles toward your hips by driving through your heels and extending your hips while keeping the handles close to your body, 4. Lower the handles back to the starting position by hinging at your hips while maintaining a neutral spine and controlled movement."
741,RDL (Tonal),Tonal RDL,Romanian Deadlift Tonal,Hamstrings,Glutes,Lower Back,Tonal,Hip hinge exercise that targets the hamstrings and glutes using electromagnetic resistance for building posterior chain strength and mobility.,"1. Stand facing the Tonal with your feet hip-width apart and grip the handles with both hands, creating tension in the cables, 2. Begin with a slight bend in your knees and initiate the movement by pushing your hips back while keeping your chest up, 3. Lower the handles by hinging at your hips until you feel a stretch in your hamstrings while maintaining a neutral spine, 4. Return to the starting position by driving your hips forward and squeezing your glutes while keeping the handles close to your body."
742,Bent-Over Row (Tonal),Tonal Bent-Over Row,Bent Over Row Tonal,Upper Back,Lat,,Tonal,Horizontal pulling exercise that targets the back muscles using electromagnetic resistance for developing back thickness and posture.,"1. Stand facing the Tonal with your feet hip-width apart and hinge forward at your hips while gripping the handles, 2. Maintain a neutral spine with your chest up and create tension in the cables with your arms extended, 3. Pull the handles toward your lower ribs by retracting your shoulder blades and driving your elbows back, 4. Slowly return to the starting position with control while maintaining your bent-over posture and keeping tension in the cables."
743,Upright Row (Tonal),Tonal Upright Row,Upright Rows Tonal,Traps,Upper Back,Biceps,Tonal,Vertical pulling exercise that targets the deltoids and traps using electromagnetic resistance for building shoulder and upper back strength.,"1. Stand facing the Tonal with your feet hip-width apart and grip the handles with an overhand grip, hands closer than shoulder-width, 2. Start with your arms extended and tension in the cables while maintaining good posture, 3. Pull the handles straight up toward your chin by lifting your elbows high and wide while keeping the handles close to your body, 4. Lower the handles back to the starting position with control while maintaining tension in the cables."
744,Reverse Fly (Tonal),Tonal Reverse Fly,Reverse Flys Tonal,Upper Back,Shoulders,,Tonal,Isolation exercise that targets the posterior deltoids and rhomboids using electromagnetic resistance for improving posture and rear shoulder strength.,"1. Stand facing the Tonal with your arms extended in front of you and grip the handles with your palms facing down, 2. Step back to create tension in the cables and maintain a slight bend in your elbows throughout the movement, 3. Pull your arms back in a wide arc by squeezing your shoulder blades together and contracting your rear deltoids, 4. Slowly return to the starting position with control while maintaining tension and feeling the stretch in your chest."
745,Shrug (Tonal),Tonal Shrug,Shrugs Tonal,Traps,Upper Back,,Tonal,Isolation exercise that targets the trapezius muscles using electromagnetic resistance for building upper back strength and neck stability.,"1. Stand facing the Tonal with your feet hip-width apart and grip the handles with your arms at your sides, 2. Create tension in the cables and maintain good posture with your shoulders in a neutral position, 3. Elevate your shoulders straight up toward your ears by contracting your trapezius muscles while keeping your arms straight, 4. Lower your shoulders back to the starting position with control while maintaining tension in the cables throughout the movement."
746,Wood Chop (Tonal),Tonal Wood Chop,Woodchop Tonal,Obliques,Shoulders,Glute,Tonal,Rotational exercise that targets the obliques using cable resistance in a diagonal movement for core strength and stability.,"1. Stand with your side to the Tonal and grip the handle with both hands at shoulder height, positioning your feet shoulder-width apart, 2. Create tension in the cable and begin with your arms extended toward the machine at shoulder level, 3. Rotate your torso and pull the handle diagonally across your body from high to low while engaging your core and keeping your arms relatively straight, 4. Control the return to the starting position while maintaining tension and resisting the cable's pull back."
747,Pullof Press (Tonal),Tonal Pullof Press,Pullof Press Tonal,Abs,Chest,,Tonal,Anti-rotational exercise that targets the core using a standing cable press position for improving trunk stability.,"1. Stand with your side to the Tonal and grip the handle with both hands at chest height, positioning your feet shoulder-width apart, 2. Step away from the machine to create tension and hold the handle at the center of your chest with your elbows bent, 3. Press the handle straight out from your chest while resisting the cable's pull to rotate your torso, engaging your core throughout, 4. Hold the extended position briefly, then slowly return the handle to your chest while maintaining anti-rotation stability."
748,Russian Twist (Tonal),Tonal Russian Twist,Russian Twists Tonal,Obliques,Abs,,Tonal,Rotational exercise that targets the obliques using seated cable resistance for enhanced core rotation and control.,"1. Sit on the floor facing the Tonal with your knees bent and grip the handle with both hands at chest level, 2. Lean back slightly to create tension in the cable while maintaining a straight back and engaged core, 3. Rotate your torso from side to side while keeping the handle at chest level and your feet planted on the ground, 4. Control the movement in both directions while maintaining tension and avoiding momentum-driven rotations."
749,Step Up (Tonal),Tonal Step Up,Step Ups Tonal,Legs,Glutes,Core,Tonal,Compound lower-body exercise that targets the glutes and quadriceps using an elevated platform and cable resistance for unilateral leg strength.,"1. Stand facing away from the Tonal with a bench or platform in front of you and grip the handles for added resistance, 2. Step onto the platform with your right foot, placing your entire foot firmly on the surface while maintaining tension in the cables, 3. Drive through your right heel to step up completely while bringing your left knee up toward your chest, 4. Step down with control by lowering your left foot first, then your right foot, while maintaining tension throughout the movement."
750,Bayesian Curl (Tonal),Tonal Bayesian Curl,Bayesian Curls Tonal,Biceps,,,Tonal,Isolation exercise that targets the biceps using a cable set behind the body for constant tension and peak contraction.,"1. Stand facing away from the Tonal with one arm behind your back and grip the handle with your working arm, 2. Position your working arm slightly behind your torso with tension in the cable and your elbow at your side, 3. Curl the handle forward and up by contracting your bicep while keeping your elbow stationary and behind your body, 4. Slowly lower the handle back to the starting position with control while maintaining the behind-the-body arm position."
751,Lat Pulldown (Tonal),Tonal Lat Pulldown,Lat Pull Down Tonal,Lats,Upper Back,Biceps,Tonal,Pulling exercise that targets the latissimus dorsi using overhead cable resistance for upper back development.,"1. Stand facing the Tonal with your feet shoulder-width apart and grip the handles with your arms extended overhead, 2. Create tension in the cables and maintain a slight forward lean with your chest up and core engaged, 3. Pull the handles down toward your chest by driving your elbows down and back while squeezing your shoulder blades together, 4. Slowly return to the starting position with control while maintaining tension and feeling the stretch in your lats."
752,Chest Press (Vitruvian),Vitruvian Chest Press,Chest Press Vitruvian,Chest,Triceps,Shoulders,Vitruvian,Pushing exercise that targets the pectorals using horizontal cable resistance for upper body pressing strength.,"1. Stand facing away from the Vitruvian with your feet shoulder-width apart and grip the handles at chest height, 2. Step forward to create resistance and position your hands at chest level with your elbows bent at 90 degrees, 3. Press the handles forward by extending your arms while keeping your core engaged and avoiding arching your back, 4. Slowly return to the starting position with control while maintaining resistance throughout the movement."
